,_id,length,n_geospans
289,5344020,75340,62
290,6037384,35677,38
291,4719703,27126,1
292,5446770,35964,171
293,4414384,45510,34
294,4060039,35480,36
295,3850550,34448,63
296,3118248,35981,62
297,6169447,28213,26
298,3430698,38052,201
299,3651337,49204,15
300,5052596,32671,48
301,529468,20948,50
302,5455098,34873,20
303,2920027,23690,49
304,5831863,39673,69
305,4719664,31111,6
306,3307193,26145,15
307,4500960,74831,55
308,3671448,23253,82
309,5901166,54618,20
310,4564908,26183,24
311,4943957,16539,17
312,6339106,33142,22
313,5740470,27995,439
314,6292665,31179,18
315,3600624,30932,68
316,3128623,29144,7
317,3855356,47190,122
318,5242534,33153,38
319,4583609,33486,25
320,3927658,31310,90
321,6034300,23724,12
322,3617865,25403,29
323,3662994,37950,9
324,3411665,41893,1
325,1501014,17750,18
326,3865968,79906,350
327,6391934,24334,30
328,3530465,27521,20
329,4856626,7129,26
330,4943736,93138,232
331,3714284,24720,18
332,5610141,39948,22
333,4043974,27485,20
334,5645649,39375,62
335,5600248,28323,2
336,5054586,45081,46
337,4230377,55121,24
338,6114833,42859,51
339,6077512,19995,32
340,2954308,33618,24
341,2827797,24050,40
342,5240325,42165,11
343,5425183,88551,262
344,5578665,56676,39
345,3362599,30081,15
346,4704251,30059,9
347,6343317,87187,6
348,3975763,27581,20
349,3467093,23230,106
350,4928288,31382,25
351,2872328,52534,51
352,4605414,26733,29
353,4940887,50428,15
354,5298535,51780,11
355,3913082,42838,91
356,3778938,47977,35
357,3391988,30258,10
358,6365648,33713,8
359,3748518,33691,116
360,2796060,25809,24
361,3646215,36539,19
362,6286420,48932,11
363,4035805,56983,142
364,2375316,22842,41
365,6160210,33364,59
366,4499799,30297,16
367,4736496,53536,35
368,5486514,73271,19
369,4240250,34789,81
370,4499811,12032,18
371,4968463,14402,9
372,5886246,37153,18
373,3490857,36373,37
374,4390160,24179,32
375,2522275,68141,24
376,5504861,24875,40
377,4406017,21763,34
378,5513266,38458,29
379,3776764,39804,10
380,2719752,51982,141
381,6065273,50317,57
382,4566138,31267,15
383,3339513,33053,49
384,5264395,27311,11
385,5872776,20580,8
386,3170267,53496,110
387,5679364,36740,20
388,5485691,35028,40
389,3050678,31753,17
390,4319766,24187,99
391,2422836,24047,9
392,3545202,29631,9
393,2890690,18717,7
394,2735533,6320,3
395,5571587,28009,7
396,5862003,27606,11
397,4210627,44125,88
398,3125316,12180,13
399,4359450,33328,57
400,4166915,53416,34
401,3196682,30214,73
402,4553502,15110,4
403,3141142,26015,10
404,4685593,51683,8
405,5320743,36797,67
406,5445271,46509,2
407,1283747,39655,15
408,3370648,30017,19
409,4636622,20910,6
410,1621100,47645,9
411,4107772,24118,8
412,5757500,43621,40
413,4390558,37435,25
414,4651334,52809,74
415,4554992,48560,24
416,3691614,34896,23
417,4591724,39516,110
418,5096289,27985,51
419,6072076,39784,17
420,5391967,27162,22
421,4857029,51137,153
422,3261938,31328,22
423,3681338,3048,0
424,3201910,28100,60
425,6155550,27368,51
426,5422488,27393,17
427,3790696,40763,10
428,4134233,34455,28
429,3055843,14111,20
430,4176725,38748,38
431,4706018,39041,19
432,3183225,22269,29
433,5414187,30856,44
434,4280006,76321,236
435,3924086,32300,36
436,4886100,33495,126
437,2180180,20943,23
438,4396864,27353,14
439,5724203,22312,21
440,2910668,10715,16
441,3191430,23835,33
442,6187500,33692,6
443,5976148,34097,115
444,5869220,22678,18
445,5818495,30869,7
446,2846866,38264,44
447,3642699,27471,90
448,4454491,56155,26
449,5334706,22301,33
450,5689226,35705,22
451,6020366,48382,118
452,270045,31886,38
453,5853448,24732,35
454,3938675,26154,55
455,3023774,40644,75
456,6097598,49210,112
457,4995550,31345,3
458,4588263,27679,44
459,4538262,38978,12
460,4671237,39932,24
461,3162925,22343,80
462,4228453,27563,21
463,5332044,41354,11
